year,reporter,reporter_code,partner,partner_code,flow,flow_code,hs_code,commodity,trade_value_usd,net_weight_kg
2021,China,156,Rep. of Korea,410,Import,M,854232,Electronic integrated circuits; memories,54999350817.0,2978594.0
2021,China,156,Rep. of Korea,410,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,10072196861.0,1748265.0
2021,China,156,Rep. of Korea,410,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",1003460986.0,537870.0
2021,China,156,Rep. of Korea,410,Export,X,854232,Electronic integrated circuits; memories,18787912477.0,894447.0
2021,China,156,Rep. of Korea,410,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,850491463.0,814600.0
2022,China,156,Rep. of Korea,410,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",22433780931.0,2231746.0
2022,China,156,Rep. of Korea,410,Import,M,854232,Electronic integrated circuits; memories,48298357563.0,2711287.0
2022,China,156,Rep. of Korea,410,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,9419867185.0,1390428.014
2022,China,156,Rep. of Korea,410,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",1450774394.0,706282.786
2022,China,156,Rep. of Korea,410,Export,X,854232,Electronic integrated circuits; memories,20237862968.0,874445.89
2022,China,156,Rep. of Korea,410,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,1230157963.0,709737.079
2023,China,156,Rep. of Korea,410,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",18492089133.0,1934990.0
2023,China,156,Rep. of Korea,410,Import,M,854232,Electronic integrated circuits; memories,34451077419.0,2782375.0
2023,China,156,Rep. of Korea,410,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,9077663972.0,1224126.0
2023,China,156,Rep. of Korea,410,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",1461263487.0,520465.0
2023,China,156,Rep. of Korea,410,Export,X,854232,Electronic integrated circuits; memories,15219366037.0,775189.0
2023,China,156,Rep. of Korea,410,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,984701741.0,554252.0
2024,China,156,Rep. of Korea,410,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",25620973457.0,1731971.0
2024,China,156,Rep. of Korea,410,Import,M,854232,Electronic integrated circuits; memories,45170610612.0,2495313.0
2024,China,156,Rep. of Korea,410,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,9505117202.0,1162857.0
2024,China,156,Rep. of Korea,410,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",1027488517.0,422303.0
2024,China,156,Rep. of Korea,410,Export,X,854232,Electronic integrated circuits; memories,18397723983.0,965402.0
2024,China,156,Rep. of Korea,410,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,907666944.0,659730.0
2018,China,156,Netherlands,528,Import,M,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",8010854.0,2416.245
2018,China,156,Netherlands,528,Import,M,854232,Electronic integrated circuits; memories,2613590.0,267.127
2018,China,156,Netherlands,528,Import,M,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,47326678.0,6738.247
2018,China,156,Netherlands,528,Export,X,854231,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",248236395.0,188162.207
2018,China,156,Netherlands,528,Export,X,854232,Electronic integrated circuits; memories,66827103.0,8590.012
2018,China,156,Netherlands,528,Export,X,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,4742090.0,11225.163
